LEVEL	F_A	F_B	F_C	F_D	F_E	F_F
A0A287A071	2.376999638027345	3.0216860882106107	-0.0602655955826528	-0.5188495033380875	-1.4122265761974144	-0.4539595544984248
A0A5G2R8I5	-0.1204611311718891	0.2963138848637487	-1.2437270453984477	-0.8310663568009635	-0.1034577060825504	-1.0249445997120965
F1S192	-0.3182608927427695	0.2006878900486562	1.7422931505180357	-0.5146292450753045	-0.203610499979928	-1.5837259258345353
A0A8W4F695	-2.1811393679681146	-1.4816524014055938	-1.1515685991004947	-1.4944196259990643	1.1474806151031536	-0.4600442698313531
A0A286ZPP2	-0.0123537951391355	0.5326082844628832	1.0648381599140124	1.5818999605741304	0.6500308182581296	0.0515291054379969
A0A287BDR2	-1.5909487428623654	0.6101941202475308	-0.6460830875074302	-0.2913327738314741	-0.0857146472678414	-1.3424356825942634
A0A287BBR7	-0.7487899960030029	0.2621204406784352	0.1850182872050107	-0.0579243603609849	1.7104195016492163	-1.629491883811049
F1RWZ4	0.4171370525558407	-0.8185731303544143	1.1789005695371038	-2.916269243942409	0.5455303358019638	0.770685403941535
A0A287BAN7	0.7864766006268793	1.5557747540269875	0.9391626960620484	0.8039059191712574	0.5752236197153247	-0.2678444365977354
F1SAT8	0.6773709685247934	1.042537450088492	-0.7669138258851109	3.2872806498222054	-5.36178109256061	1.967415980512824
F1SUG1	-0.3244694611080298	-0.4762613821291386	-0.1101924509829881	0.5576174431025926	0.3051454748486586	0.0450254282438949
A0A8W4FAP8	0.9735563549692916	-0.0638568703719088	-0.3511499016341703	0.625058646186725	0.1221383157274716	-0.5786841806583605
I3LM75	-0.6379996640104783	-2.3009969496807843	-1.6905100424896495	-0.7641336537751706	1.2353942697834464	-0.6275247392661614
Q29551	-0.2602119370244541	-2.331391768852113	1.901246569951509	-1.4371689610218312	0.0743963522417624	-0.1328166642362283
A0A5G2QG29	0.3959654212375406	1.7916850931709742	0.6924758607464042	1.230902360628409	1.5118493053492748	0.5295558648150978
A0A287BL93	-1.0599478094045436	-2.2289622654039283	-1.9290617774898609	-1.1004875117292643	0.5293886743805075	-0.8360054853171142
A0A286ZVX4	-0.928236929621271	-0.6903648236013972	-2.386159409160018	-1.4102375297014955	-1.4128174855215965	-1.3239264169031928
A0A287A6N0	0.6705824924040618	0.1069322815492031	-0.1518062744678363	0.5136389978698059	-0.3888205884312779	-0.159229357112998
A0A287A2R9	1.2244310312807505	0.8653778694694699	1.908304169052872	-1.9891900261168105	0.7192087710697851	0.4643965290856482
P63317	-2.2389827821948005	-4.754384250521444	-4.19474855479409	4.029997345617468	-1.2947171249320664	-3.650181957835008
Q56VC2	0.8109131456042393	-0.436599713164678	-0.152409221351012	0.5875851268756134	1.517543359991477	0.4009041216771324
Q0QF01	-0.0892913093147131	-2.157535097360852	-1.4281318819526831	-1.2922231532724764	0.3330734875465874	2.061716572506753
A0A287AE88	-0.0921975458176657	-1.461898409684795	-1.4266552408549809	-0.5567801659545767	1.3025711511171083	1.7422116238484726
F1RVH4		-0.9832525801585984	0.118216314072595			-3.2790408491392
Q29243	0.6206889691311412	0.3149394499727462	-0.4342119744309979	0.0666534489101876	-0.5719867058800622	0.3425185727990025
F1S924		0.151316775691159	-0.0659736738673121			-1.893191927239151
A0A287A9L8	0.2694009112731749	-0.6725661449479073	-0.496982351982222	-0.2610819811639957	-0.1139333112540502	1.7127150636593569
A0A286ZJQ4	1.275007480543045	2.2869560891039806	-2.146486896187414	-1.4065690720749102	0.1988676940515685	0.2935035070405649
A0A287A2J3	-0.2176869101412149	0.7568820391278978	0.3159995885934559	1.6203383633104345	0.6658799306443339	1.163544253904613
A0A286ZNH3	0.373797415482655	0.8308839845147745	2.0137059881834665	0.1785995238182244	0.0685537857033364	0.4617478441640216
F1SSN5	1.5831039006204597	3.261418771753535	0.0832412997950638	0.4065555107228681	-0.1041386371678403	0.5831344383319469
A0A286ZJL5	0.0649819835231848	0.1921095407089053	0.1582303798394118	0.1101599280718251	-0.7718212730180392	0.2282039622448765
